date,temperature_2m,relative_humidity_2m,vapour_pressure_deficit,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm
2012-01-01 00:00:00,-14.048,88.030975,0.02481623,0.395,0.366,0.306,-2.7979999,-2.348,-0.29799998
2012-01-01 01:00:00,-14.348,88.00141,0.024272054,0.395,0.366,0.306,-2.7979999,-2.348,-0.29799998
2012-01-01 02:00:00,-14.398,87.99646,0.024182424,0.395,0.366,0.306,-2.7979999,-2.348,-0.29799998
2012-01-01 03:00:00,-14.398,87.99646,0.024182424,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 04:00:00,-14.348,87.63676,0.025009498,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 05:00:00,-14.048,88.030975,0.02481623,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 06:00:00,-13.448,88.81805,0.024350896,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 07:00:00,-13.948,87.31509,0.026516616,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 08:00:00,-13.398,85.5884,0.031510115,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 09:00:00,-13.048,84.577385,0.034694597,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 10:00:00,-12.998,84.58356,0.034821942,0.395,0.366,0.306,-2.7979999,-2.348,-0.29799998
2012-01-01 11:00:00,-13.398,85.5884,0.031510115,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 12:00:00,-14.048,85.51242,0.030036405,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 13:00:00,-14.648,85.44173,0.028729752,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 14:00:00,-14.798,85.78178,0.027713746,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 15:00:00,-15.148,85.74118,0.02699992,0.395,0.366,0.306,-2.848,-2.348,-0.29799998
2012-01-01 16:00:00,-15.148,85.38244,0.027678996,0.395,0.366,0.306,-2.898,-2.348,-0.29799998
2012-01-01 17:00:00,-15.598,84.61297,0.02806732,0.395,0.366,0.306,-2.898,-2.348,-0.29799998
2012-01-01 18:00:00,-16.348,84.16102,0.027138546,0.395,0.366,0.306,-2.898,-2.348,-0.29799998
2012-01-01 19:00:00,-16.848,84.09652,0.026129216,0.395,0.366,0.306,-2.948,-2.348,-0.29799998
2012-01-01 20:00:00,-17.298,83.32149,0.026382148,0.394,0.366,0.306,-2.948,-2.348,-0.29799998
2012-01-01 21:00:00,-17.548,82.220924,0.027533919,0.394,0.366,0.306,-2.998,-2.348,-0.29799998
2012-01-01 22:00:00,-17.798,80.08454,0.030194,0.394,0.366,0.306,-2.998,-2.348,-0.29799998
2012-01-01 23:00:00,-17.798,78.371056,0.032790177,0.394,0.366,0.306,-3.0479999,-2.348,-0.29799998
2012-01-02 00:00:00,-17.748,77.03297,0.034965336,0.394,0.366,0.306,-3.0479999,-2.348,-0.29799998
2012-01-02 01:00:00,-17.298,76.781235,0.036720663,0.394,0.366,0.306,-3.098,-2.348,-0.29799998
2012-01-02 02:00:00,-17.198,76.138794,0.038055927,0.394,0.366,0.306,-3.098,-2.348,-0.29799998
2012-01-02 03:00:00,-16.998,76.1758,0.038643166,0.394,0.366,0.306,-3.098,-2.348,-0.29799998
2012-01-02 04:00:00,-16.698,76.55966,0.038992733,0.394,0.366,0.306,-3.098,-2.398,-0.29799998
2012-01-02 05:00:00,-15.548,77.423485,0.041345447,0.394,0.366,0.306,-3.098,-2.398,-0.29799998
2012-01-02 06:00:00,-13.648,77.42875,0.048344627,0.394,0.366,0.306,-3.0479999,-2.398,-0.29799998
2012-01-02 07:00:00,-10.998,77.24875,0.060361594,0.394,0.366,0.306,-2.998,-2.398,-0.29799998
2012-01-02 08:00:00,-9.148,76.6343,0.071770966,0.394,0.366,0.306,-2.948,-2.398,-0.29799998
2012-01-02 09:00:00,-8.048,76.21527,0.07961714,0.394,0.366,0.306,-2.898,-2.398,-0.29799998
2012-01-02 10:00:00,-7.948,76.84375,0.07811931,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 11:00:00,-8.898,77.920334,0.06916575,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 12:00:00,-10.098,78.034225,0.06260203,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 13:00:00,-10.898,78.21842,0.05825305,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 14:00:00,-11.548,78.10973,0.05557753,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 15:00:00,-12.248,78.314445,0.05204247,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 16:00:00,-13.048,79.160675,0.0468743,0.394,0.366,0.306,-2.848,-2.398,-0.29799998
2012-01-02 17:00:00,-13.998,80.003876,0.041621983,0.394,0.366,0.306,-2.898,-2.398,-0.29799998
2012-01-02 18:00:00,-14.948,80.86985,0.036824256,0.394,0.366,0.306,-2.898,-2.398,-0.29799998
2012-01-02 19:00:00,-15.848,81.07618,0.033804595,0.394,0.366,0.306,-2.948,-2.398,-0.29799998
2012-01-02 20:00:00,-16.648,81.301735,0.031239405,0.394,0.366,0.306,-2.998,-2.398,-0.29799998
2012-01-02 21:00:00,-17.398,81.889984,0.028404355,0.394,0.366,0.306,-3.0479999,-2.398,-0.29799998
2012-01-02 22:00:00,-18.048,82.148964,0.026497029,0.394,0.366,0.306,-3.098,-2.398,-0.29799998
2012-01-02 23:00:00,-18.748,82.04751,0.025102742,0.394,0.366,0.306,-3.098,-2.398,-0.29799998
2012-01-03 00:00:00,-19.298,81.60992,0.024528943,0.394,0.366,0.306,-3.148,-2.398,-0.29799998
2012-01-03 01:00:00,-19.898,81.520195,0.023405343,0.394,0.366,0.306,-3.198,-2.398,-0.29799998
2012-01-03 02:00:00,-20.498,81.07079,0.02275844,0.394,0.366,0.306,-3.248,-2.398,-0.29799998
2012-01-03 03:00:00,-20.998,81.35403,0.021461956,0.394,0.366,0.306,-3.248,-2.398,-0.29799998
2012-01-03 04:00:00,-21.248,81.315956,0.021040529,0.394,0.366,0.306,-3.2979999,-2.398,-0.29799998
2012-01-03 05:00:00,-20.198,80.40463,0.024180792,0.394,0.366,0.306,-3.2979999,-2.398,-0.29799998
2012-01-03 06:00:00,-18.548,78.5843,0.030458614,0.394,0.366,0.306,-3.2979999,-2.448,-0.29799998
2012-01-03 07:00:00,-17.148,78.48161,0.034466878,0.394,0.366,0.306,-3.248,-2.448,-0.29799998
2012-01-03 08:00:00,-15.498,78.09292,0.0402873,0.394,0.366,0.306,-3.198,-2.448,-0.29799998
2012-01-03 09:00:00,-14.448,78.27124,0.043584988,0.394,0.366,0.306,-3.148,-2.448,-0.29799998
2012-01-03 10:00:00,-14.548,79.91738,0.039954394,0.394,0.366,0.306,-3.098,-2.448,-0.29799998
2012-01-03 11:00:00,-15.298,82.19243,0.033300146,0.394,0.366,0.306,-3.098,-2.448,-0.29799998
2012-01-03 12:00:00,-16.048,83.1364,0.029627383,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 13:00:00,-16.448,83.791374,0.027539939,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 14:00:00,-16.448,84.14817,0.026933953,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 15:00:00,-16.198,84.53779,0.026827902,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 16:00:00,-16.248,84.53149,0.026726782,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 17:00:00,-16.048,84.19956,0.027760297,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 18:00:00,-15.898,84.57543,0.027441517,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 19:00:00,-15.648,86.04434,0.025351599,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 20:00:00,-15.048,86.11262,0.02651544,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 21:00:00,-13.948,86.23654,0.028770491,0.394,0.366,0.306,-3.098,-2.448,-0.348
2012-01-03 22:00:00,-12.948,86.34779,0.0309636,0.394,0.366,0.306,-3.0479999,-2.448,-0.348
2012-01-03 23:00:00,-12.248,86.4249,0.03258407,0.394,0.366,0.306,-3.0479999,-2.448,-0.348
2012-01-04 00:00:00,-11.648,86.490486,0.034031212,0.394,0.366,0.306,-2.998,-2.448,-0.348
2012-01-04 01:00:00,-10.948,86.56642,0.035789892,0.394,0.366,0.306,-2.948,-2.448,-0.348
2012-01-04 02:00:00,-10.748,87.28868,0.034410328,0.394,0.366,0.306,-2.948,-2.448,-0.348
2012-01-04 03:00:00,-10.448,87.3194,0.035156146,0.394,0.366,0.306,-2.898,-2.448,-0.348
2012-01-04 04:00:00,-10.448,87.67082,0.034182042,0.394,0.366,0.306,-2.898,-2.448,-0.348
2012-01-04 05:00:00,-10.248,87.3398,0.035661116,0.394,0.366,0.306,-2.898,-2.448,-0.348
2012-01-04 06:00:00,-9.798,86.343834,0.039860398,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 07:00:00,-9.648,85.6726,0.04231718,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 08:00:00,-9.248,84.36156,0.04766634,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 09:00:00,-9.148,84.373856,0.048004508,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 10:00:00,-9.148,84.03797,0.049036115,0.394,0.366,0.306,-2.7979999,-2.448,-0.348
2012-01-04 11:00:00,-9.398,85.701065,0.043073267,0.394,0.366,0.306,-2.7979999,-2.448,-0.348
2012-01-04 12:00:00,-9.848,86.33837,0.03971915,0.394,0.366,0.306,-2.7979999,-2.448,-0.348
2012-01-04 13:00:00,-10.498,86.96397,0.03599803,0.394,0.366,0.306,-2.7979999,-2.448,-0.348
2012-01-04 14:00:00,-11.098,87.60587,0.032628134,0.394,0.366,0.306,-2.7979999,-2.448,-0.348
2012-01-04 15:00:00,-11.898,87.52523,0.030800179,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 16:00:00,-12.798,87.43361,0.02885072,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 17:00:00,-13.648,84.85368,0.032447025,0.394,0.366,0.306,-2.848,-2.448,-0.348
2012-01-04 18:00:00,-14.248,85.48891,0.029595196,0.394,0.366,0.306,-2.898,-2.448,-0.348
2012-01-04 19:00:00,-14.648,86.51792,0.02660662,0.394,0.366,0.306,-2.898,-2.448,-0.348
