date,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m
2017-01-01 00:00:00,0.0,0.0,0.07,7.9195957,13.5
2017-01-01 01:00:00,0.1,0.0,0.07,8.421994,14.3
2017-01-01 02:00:00,0.2,0.0,0.14,8.8729925,18.9
2017-01-01 03:00:00,0.2,0.0,0.14,9.0,18.6
2017-01-01 04:00:00,0.3,0.0,0.21000001,8.766413,15.0
2017-01-01 05:00:00,0.2,0.0,0.14,8.746428,14.7
2017-01-01 06:00:00,0.2,0.0,0.14,8.746428,14.6
2017-01-01 07:00:00,0.2,0.0,0.14,8.695401,15.3
2017-01-01 08:00:00,0.2,0.0,0.14,8.558621,15.0
2017-01-01 09:00:00,0.2,0.0,0.14,8.438009,14.8
2017-01-01 10:00:00,0.2,0.0,0.14,8.405355,14.8
2017-01-01 11:00:00,0.2,0.0,0.14,8.514693,14.9
2017-01-01 12:00:00,0.2,0.0,0.14,8.490582,14.9
2017-01-01 13:00:00,0.1,0.0,0.07,8.598255,14.7
2017-01-01 14:00:00,0.0,0.0,0.07,8.628441,14.8
2017-01-01 15:00:00,0.0,0.0,0.07,8.595929,14.8
2017-01-01 16:00:00,0.0,0.0,0.0,8.407735,14.7
2017-01-01 17:00:00,0.0,0.0,0.0,8.0062475,14.4
2017-01-01 18:00:00,0.0,0.0,0.0,7.741447,14.2
2017-01-01 19:00:00,0.0,0.0,0.0,7.4431176,13.4
2017-01-01 20:00:00,0.0,0.0,0.0,7.324616,12.8
2017-01-01 21:00:00,0.0,0.0,0.0,7.2401657,12.6
2017-01-01 22:00:00,0.0,0.0,0.0,7.1028166,12.5
2017-01-01 23:00:00,0.0,0.0,0.0,7.184706,12.5
2017-01-02 00:00:00,0.0,0.0,0.07,7.080254,12.4
2017-01-02 01:00:00,0.0,0.0,0.07,7.1217976,12.2
2017-01-02 02:00:00,0.0,0.0,0.07,7.170077,12.1
2017-01-02 03:00:00,0.0,0.0,0.07,7.18401,12.0
2017-01-02 04:00:00,0.0,0.0,0.07,7.106335,11.9
2017-01-02 05:00:00,0.0,0.0,0.07,6.96563,12.0
2017-01-02 06:00:00,0.1,0.0,0.07,6.902898,12.1
2017-01-02 07:00:00,0.2,0.0,0.14,7.0434365,11.9
2017-01-02 08:00:00,0.2,0.0,0.14,7.4027023,12.7
2017-01-02 09:00:00,0.2,0.0,0.14,7.640026,13.2
2017-01-02 10:00:00,0.2,0.0,0.14,6.6603303,12.3
2017-01-02 11:00:00,0.1,0.0,0.07,6.0827627,11.4
2017-01-02 12:00:00,0.0,0.0,0.07,5.7999997,10.5
2017-01-02 13:00:00,0.0,0.0,0.0,5.59017,10.1
2017-01-02 14:00:00,0.0,0.0,0.0,5.315073,9.6
2017-01-02 15:00:00,0.0,0.0,0.0,5.185557,9.1
2017-01-02 16:00:00,0.0,0.0,0.0,4.920366,8.6
2017-01-02 17:00:00,0.0,0.0,0.0,4.701064,8.3
2017-01-02 18:00:00,0.0,0.0,0.0,4.3416586,8.1
2017-01-02 19:00:00,0.0,0.0,0.0,4.0459857,7.5
2017-01-02 20:00:00,0.0,0.0,0.0,3.920459,6.9
2017-01-02 21:00:00,0.0,0.0,0.0,4.1880784,7.0
2017-01-02 22:00:00,0.0,0.0,0.0,3.6674242,7.2
2017-01-02 23:00:00,0.0,0.0,0.0,3.4885528,7.1
2017-01-03 00:00:00,0.0,0.0,0.0,3.443835,6.7
2017-01-03 01:00:00,0.0,0.0,0.0,3.8483763,6.9
2017-01-03 02:00:00,0.0,0.0,0.0,4.0718546,7.4
2017-01-03 03:00:00,0.0,0.0,0.0,4.248529,7.7
2017-01-03 04:00:00,0.0,0.0,0.0,4.3416586,7.9
2017-01-03 05:00:00,0.0,0.0,0.0,4.7169905,8.6
2017-01-03 06:00:00,0.0,0.0,0.0,4.9396353,9.6
2017-01-03 07:00:00,0.0,0.0,0.0,5.186521,10.0
2017-01-03 08:00:00,0.0,0.0,0.0,6.0307546,10.7
2017-01-03 09:00:00,0.0,0.0,0.0,6.3780875,11.4
2017-01-03 10:00:00,0.0,0.0,0.0,6.519202,11.7
2017-01-03 11:00:00,0.0,0.0,0.0,6.224147,11.0
2017-01-03 12:00:00,0.0,0.0,0.07,6.3126855,10.8
2017-01-03 13:00:00,0.1,0.0,0.07,6.453681,11.3
2017-01-03 14:00:00,0.1,0.0,0.07,6.5855904,11.4
2017-01-03 15:00:00,0.0,0.0,0.07,6.5795135,11.4
2017-01-03 16:00:00,0.0,0.0,0.07,6.6468034,11.5
2017-01-03 17:00:00,0.0,0.0,0.07,6.720863,11.6
2017-01-03 18:00:00,0.0,0.0,0.07,6.6603303,11.6
2017-01-03 19:00:00,0.0,0.0,0.07,6.594695,11.7
2017-01-03 20:00:00,0.0,0.0,0.07,6.5855904,11.6
2017-01-03 21:00:00,0.0,0.0,0.0,6.5795135,11.6
2017-01-03 22:00:00,0.0,0.0,0.0,6.720863,11.8
2017-01-03 23:00:00,0.0,0.0,0.0,6.6468034,11.9
2017-01-04 00:00:00,0.0,0.0,0.0,6.720863,12.0
2017-01-04 01:00:00,0.0,0.0,0.0,6.862215,12.3
2017-01-04 02:00:00,0.0,0.0,0.0,6.935416,12.4
2017-01-04 03:00:00,0.0,0.0,0.0,7.017834,12.7
2017-01-04 04:00:00,0.0,0.0,0.0,7.18401,12.8
2017-01-04 05:00:00,0.0,0.0,0.0,7.4027023,13.0
2017-01-04 06:00:00,0.0,0.0,0.0,7.451845,13.2
2017-01-04 07:00:00,0.0,0.0,0.0,7.5742984,13.5
2017-01-04 08:00:00,0.0,0.0,0.0,7.6367536,13.4
2017-01-04 09:00:00,0.0,0.0,0.0,7.35527,13.3
2017-01-04 10:00:00,0.0,0.0,0.0,7.2862887,13.0
2017-01-04 11:00:00,0.0,0.0,0.0,7.291776,12.8
2017-01-04 12:00:00,0.0,0.0,0.0,7.0035706,12.7
2017-01-04 13:00:00,0.0,0.0,0.0,6.789698,12.3
2017-01-04 14:00:00,0.0,0.0,0.0,6.726812,12.0
2017-01-04 15:00:00,0.0,0.0,0.0,6.6843095,11.7
2017-01-04 16:00:00,0.0,0.0,0.0,6.780118,11.7
2017-01-04 17:00:00,0.0,0.0,0.0,6.8818603,11.8
