date,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m
2023-01-01 00:00:00,0.0,0.0,0.0,3.49285,4.9
2023-01-01 01:00:00,0.0,0.0,0.0,3.1575305,4.1
2023-01-01 02:00:00,0.0,0.0,0.0,3.026549,3.8
2023-01-01 03:00:00,0.0,0.0,0.0,2.8160255,3.4
2023-01-01 04:00:00,0.0,0.0,0.0,2.5179358,3.3
2023-01-01 05:00:00,0.0,0.0,0.0,2.5179358,3.4
2023-01-01 06:00:00,0.0,0.0,0.0,2.5179358,3.8
2023-01-01 07:00:00,0.0,0.0,0.0,2.3345234,4.1
2023-01-01 08:00:00,0.0,0.0,0.0,2.404163,4.0
2023-01-01 09:00:00,0.0,0.0,0.0,2.4166093,3.7
2023-01-01 10:00:00,0.0,0.0,0.0,2.147091,2.7
2023-01-01 11:00:00,0.0,0.0,0.0,2.1095023,2.5
2023-01-01 12:00:00,0.0,0.0,0.0,1.9416488,2.4
2023-01-01 13:00:00,0.0,0.0,0.0,1.421267,2.6
2023-01-01 14:00:00,0.0,0.0,0.0,1.3601471,2.5
2023-01-01 15:00:00,0.0,0.0,0.0,1.3928387,2.7
2023-01-01 16:00:00,0.0,0.0,0.0,1.4142135,3.0
2023-01-01 17:00:00,0.0,0.0,0.0,1.9646883,2.9
2023-01-01 18:00:00,0.0,0.0,0.0,2.2561028,3.2
2023-01-01 19:00:00,0.0,0.0,0.0,2.376973,3.8
2023-01-01 20:00:00,0.0,0.0,0.0,2.5495098,4.1
2023-01-01 21:00:00,0.1,0.0,0.07,2.8231187,4.6
2023-01-01 22:00:00,0.2,0.0,0.14,3.3241541,5.1
2023-01-01 23:00:00,0.2,0.0,0.14,3.324154,5.3
2023-01-02 00:00:00,0.1,0.0,0.07,3.3,5.2
2023-01-02 01:00:00,0.0,0.0,0.0,3.5014284,5.5
2023-01-02 02:00:00,0.0,0.0,0.0,3.8013155,6.1
2023-01-02 03:00:00,0.0,0.0,0.0,4.0,6.6
2023-01-02 04:00:00,0.0,0.0,0.0,4.101219,7.0
2023-01-02 05:00:00,0.0,0.0,0.0,4.304649,7.4
2023-01-02 06:00:00,0.0,0.0,0.0,4.501111,7.5
2023-01-02 07:00:00,0.0,0.0,0.0,4.604346,7.8
2023-01-02 08:00:00,0.0,0.0,0.0,4.8373547,8.1
2023-01-02 09:00:00,0.0,0.0,0.0,5.4589376,9.3
2023-01-02 10:00:00,0.0,0.0,0.0,5.731492,9.2
2023-01-02 11:00:00,0.0,0.0,0.0,5.408327,8.8
2023-01-02 12:00:00,0.0,0.0,0.0,5.400926,8.8
2023-01-02 13:00:00,0.0,0.0,0.0,5.400926,9.1
2023-01-02 14:00:00,0.0,0.0,0.0,5.500909,9.5
2023-01-02 15:00:00,0.0,0.0,0.0,5.60803,9.8
2023-01-02 16:00:00,0.0,0.0,0.0,5.830952,10.1
2023-01-02 17:00:00,0.0,0.0,0.0,6.0074954,10.6
2023-01-02 18:00:00,0.0,0.0,0.0,6.2201285,11.2
2023-01-02 19:00:00,0.0,0.0,0.0,6.537584,11.4
2023-01-02 20:00:00,0.0,0.0,0.0,6.8264194,11.8
2023-01-02 21:00:00,0.0,0.0,0.0,7.071068,12.3
2023-01-02 22:00:00,0.0,0.0,0.0,8.386298,13.5
2023-01-02 23:00:00,0.1,0.0,0.07,8.79659,14.2
2023-01-03 00:00:00,0.2,0.0,0.14,9.0094385,14.7
2023-01-03 01:00:00,0.5,0.0,0.35,9.002777,15.0
2023-01-03 02:00:00,0.5,0.0,0.35,8.998889,14.9
2023-01-03 03:00:00,0.3,0.0,0.21000001,8.928606,14.7
2023-01-03 04:00:00,0.3,0.0,0.21000001,8.586617,14.0
2023-01-03 05:00:00,0.2,0.0,0.14,8.080842,13.0
2023-01-03 06:00:00,0.2,0.0,0.14,7.3824115,12.0
2023-01-03 07:00:00,0.2,0.0,0.14,6.7067127,11.5
2023-01-03 08:00:00,0.2,0.0,0.14,6.1814237,10.6
2023-01-03 09:00:00,0.2,0.0,0.14,6.0901566,10.6
2023-01-03 10:00:00,0.1,0.0,0.07,7.247068,12.6
2023-01-03 11:00:00,0.1,0.0,0.07,6.989278,12.9
2023-01-03 12:00:00,0.0,0.0,0.0,6.7357254,12.1
2023-01-03 13:00:00,0.1,0.0,0.07,7.2862887,12.5
2023-01-03 14:00:00,0.1,0.0,0.07,6.862215,12.2
2023-01-03 15:00:00,0.1,0.0,0.07,6.8593006,11.7
2023-01-03 16:00:00,0.1,0.0,0.07,6.8249545,11.6
2023-01-03 17:00:00,0.1,0.0,0.07,6.946222,11.6
2023-01-03 18:00:00,0.1,0.0,0.07,7.1309185,11.8
2023-01-03 19:00:00,0.3,0.0,0.21000001,7.615773,13.2
2023-01-03 20:00:00,0.4,0.0,0.28,8.421401,14.7
2023-01-03 21:00:00,0.4,0.0,0.28,9.11976,16.0
2023-01-03 22:00:00,0.4,0.0,0.28,9.552486,16.2
2023-01-03 23:00:00,0.4,0.0,0.28,9.265528,15.9
2023-01-04 00:00:00,0.2,0.0,0.14,9.1350975,15.9
2023-01-04 01:00:00,0.1,0.0,0.07,9.319335,16.2
2023-01-04 02:00:00,0.0,0.0,0.0,8.902246,15.6
2023-01-04 03:00:00,0.0,0.0,0.0,8.302409,14.4
2023-01-04 04:00:00,0.0,0.0,0.0,7.922752,13.4
2023-01-04 05:00:00,0.0,0.0,0.0,7.665507,13.1
2023-01-04 06:00:00,0.0,0.0,0.0,7.2993145,12.3
2023-01-04 07:00:00,0.0,0.0,0.0,6.841052,11.4
2023-01-04 08:00:00,0.0,0.0,0.0,6.8709536,10.6
2023-01-04 09:00:00,0.0,0.0,0.0,5.990826,10.8
2023-01-04 10:00:00,0.0,0.0,0.0,5.728001,9.2
2023-01-04 11:00:00,0.0,0.0,0.0,5.6222773,9.2
2023-01-04 12:00:00,0.1,0.0,0.07,5.283938,9.2
2023-01-04 13:00:00,0.2,0.0,0.14,5.0447993,8.6
2023-01-04 14:00:00,0.3,0.0,0.21000001,5.6142673,9.1
2023-01-04 15:00:00,0.4,0.0,0.28,5.9539905,9.4
2023-01-04 16:00:00,0.3,0.0,0.21000001,6.063827,9.4
2023-01-04 17:00:00,0.3,0.0,0.21000001,6.1351447,9.6
2023-01-04 18:00:00,0.2,0.0,0.14,6.1294374,9.9
2023-01-04 19:00:00,0.2,0.0,0.14,6.3780875,11.0
2023-01-04 20:00:00,0.2,0.0,0.14,6.9999995,12.0
2023-01-04 21:00:00,0.1,0.0,0.07,7.306162,12.7
